Carrier,Flight,Origin,Month,Delay
9E,3317,JFK,1,
9E,3325,JFK,1,-2
9E,3325,JFK,1,-6
9E,3331,JFK,1,1
9E,3369,JFK,1,22
9E,3387,JFK,1,13
9E,3409,JFK,1,27
9E,3422,JFK,1,29
9E,3422,JFK,1,-6
9E,3459,JFK,1,291
9E,3483,JFK,1,-8
9E,3483,JFK,1,-8
9E,3521,JFK,1,-3
9E,3523,JFK,1,
9E,3525,JFK,1,0
9E,3525,JFK,1,-7
9E,3609,JFK,1,-3
9E,3635,JFK,1,113
9E,3638,JFK,1,-5
9E,3689,JFK,1,-5
9E,3719,LGA,1,-10
9E,3961,LGA,1,-5
9E,4023,EWR,1,
9E,4033,LGA,1,
9E,4091,JFK,1,
9E,4127,JFK,1,-2
9E,4357,JFK,1,-13
9E,4357,JFK,1,
AA,3,JFK,1,5
AA,19,JFK,1,-6
AA,119,EWR,1,-2
AA,133,JFK,1,-1
AA,177,JFK,1,0
AA,181,JFK,1,-2
AA,185,JFK,1,-4
AA,269,JFK,1,-7
AA,301,LGA,1,3
AA,313,LGA,1,-6
AA,359,LGA,1,-2
AA,371,LGA,1,-2
AA,443,JFK,1,0
AA,543,JFK,1,33
AA,647,JFK,1,4
AA,655,JFK,1,-11
AA,715,LGA,1,60
AA,715,LGA,1,102
AA,721,LGA,1,-3
AA,721,LGA,1,-3
AA,731,LGA,1,-3
AA,743,LGA,1,-9
AA,743,LGA,1,-3
AA,753,LGA,1,-1
AA,1039,JFK,1,2
AA,1073,LGA,1,10
AA,1762,JFK,1,-2
AA,1787,JFK,1,28
AA,1790,JFK,1,-4
AA,1813,JFK,1,-3
AA,1895,EWR,1,-4
AA,2019,LGA,1,-5
AA,2075,EWR,1,113
AA,2083,EWR,1,-4
AS,7,EWR,1,14
B6,8,JFK,1,62
B6,8,JFK,1,-1
B6,9,JFK,1,-7
B6,17,JFK,1,29
B6,20,JFK,1,-4
B6,22,JFK,1,0
B6,30,JFK,1,-7
B6,30,JFK,1,-4
B6,49,JFK,1,-3
B6,59,JFK,1,-6
B6,87,JFK,1,2
B6,117,JFK,1,-4
B6,117,JFK,1,-5
B6,119,JFK,1,44
B6,145,JFK,1,-4
B6,147,JFK,1,-4
B6,153,JFK,1,8
B6,179,JFK,1,-3
B6,179,JFK,1,5
B6,209,JFK,1,15
B6,215,EWR,1,-2
B6,215,EWR,1,-4
B6,227,EWR,1,-2
B6,343,EWR,1,-2
B6,355,JFK,1,-5
B6,359,JFK,1,10
B6,361,LGA,1,-4
B6,399,LGA,1,7
B6,399,LGA,1,-4
B6,503,EWR,1,0
B6,527,EWR,1,287
B6,615,JFK,1,2
B6,629,JFK,1,69
B6,629,JFK,1,-2
B6,717,JFK,1,0
B6,725,JFK,1,-4
B6,905,JFK,1,73
B6,983,LGA,1,-8
B6,983,LGA,1,-4
B6,989,JFK,1,8
B6,989,JFK,1,-3
B6,991,JFK,1,-4
B6,1016,JFK,1,-5
B6,1016,JFK,1,-6
B6,1018,JFK,1,-3
B6,1053,JFK,1,-2
B6,1061,JFK,1,23
B6,1069,JFK,1,-7
B6,1069,JFK,1,0
B6,1111,JFK,1,2
B6,1161,LGA,1,-2
B6,1172,EWR,1,-2
B6,1176,EWR,1,-12
B6,1783,JFK,1,11
B6,1783,JFK,1,7
DL,31,JFK,1,-2
DL,31,JFK,1,-5
DL,91,JFK,1,9
DL,161,JFK,1,83
DL,181,LGA,1,
DL,181,LGA,1,-5
DL,181,LGA,1,71
DL,301,JFK,1,-10
DL,485,EWR,1,-6
DL,731,LGA,1,-3
DL,781,LGA,1,-7
DL,847,LGA,1,6
DL,847,LGA,1,-7
DL,926,EWR,1,38
DL,926,EWR,1,-4
DL,963,JFK,1,-3
DL,963,JFK,1,-6
DL,963,JFK,1,-4
DL,1031,LGA,1,15
DL,1047,LGA,1,0
DL,1131,LGA,1,-3
DL,1185,EWR,1,-2
DL,1275,JFK,1,0
DL,1275,JFK,1,-1
DL,1485,LGA,1,-5
DL,1531,LGA,1,-9
DL,1627,JFK,1,3
DL,1685,LGA,1,-5
DL,1695,LGA,1,0
DL,1729,JFK,1,-2
DL,1765,JFK,1,-6
DL,1771,JFK,1,-2
DL,1771,JFK,1,0
DL,1779,LGA,1,-1
DL,1847,LGA,1,23
DL,1854,LGA,1,2
DL,1919,LGA,1,-6
DL,2003,LGA,1,-3
DL,2027,JFK,1,-4
DL,2042,EWR,1,-3
DL,2042,EWR,1,-4
DL,2043,JFK,1,-5
DL,2044,LGA,1,-3
DL,2047,LGA,1,-3
DL,2119,LGA,1,95
DL,2119,LGA,1,478
DL,2190,JFK,1,-10
DL,2219,LGA,1,8
DL,2343,EWR,1,0
DL,2363,JFK,1,-6
DL,2395,LGA,1,-7
EV,3261,EWR,1,-3
EV,3274,LGA,1,-8
EV,3819,EWR,1,52
EV,3835,EWR,1,33
EV,3835,EWR,1,-8
EV,4085,EWR,1,-10
EV,4087,EWR,1,25
EV,4088,EWR,1,72
EV,4090,EWR,1,1
EV,4119,EWR,1,-4
EV,4133,EWR,1,5
EV,4175,EWR,1,5
EV,4204,EWR,1,30
EV,4214,EWR,1,3
EV,4231,EWR,1,64
EV,4233,EWR,1,1
EV,4241,EWR,1,-1
EV,4264,EWR,1,-6
EV,4299,EWR,1,82
EV,4299,EWR,1,96
EV,4299,EWR,1,40
EV,4300,EWR,1,51
EV,4322,EWR,1,166
EV,4323,EWR,1,-4
EV,4326,EWR,1,
EV,4364,EWR,1,37
EV,4364,EWR,1,-4
EV,4372,EWR,1,0
EV,4373,EWR,1,4
EV,4373,EWR,1,-2
EV,4383,EWR,1,58
EV,4383,EWR,1,52
EV,4397,EWR,1,96
EV,4404,EWR,1,-1
EV,4445,EWR,1,-4
EV,4485,EWR,1,-3
EV,4485,EWR,1,10
EV,4536,EWR,1,36
EV,4576,EWR,1,329
EV,4581,EWR,1,9
EV,4628,EWR,1,-16
EV,4636,EWR,1,13
EV,4638,EWR,1,
EV,4640,EWR,1,-1
EV,4641,EWR,1,-3
EV,4667,EWR,1,30
EV,4687,EWR,1,62
EV,4687,EWR,1,13
EV,4950,EWR,1,-1
EV,4997,EWR,1,13
EV,4997,EWR,1,-4
EV,5026,EWR,1,0
EV,5163,LGA,1,-4
EV,5712,JFK,1,-8
HA,51,JFK,1,-4
HA,51,JFK,1,0
MQ,3695,EWR,1,82
MQ,3695,EWR,1,7
MQ,3737,EWR,1,-5
MQ,3737,EWR,1,-5
MQ,3944,JFK,1,-5
MQ,3985,JFK,1,-7
MQ,4172,JFK,1,0
MQ,4309,JFK,1,-3
MQ,4403,JFK,1,-9
MQ,4410,JFK,1,8
MQ,4423,JFK,1,34
MQ,4423,JFK,1,-7
MQ,4426,LGA,1,-2
MQ,4429,LGA,1,-2
MQ,4447,LGA,1,-7
MQ,4471,LGA,1,-1
MQ,4478,LGA,1,-8
MQ,4479,LGA,1,18
MQ,4485,LGA,1,-7
MQ,4485,LGA,1,-7
MQ,4517,LGA,1,36
MQ,4521,LGA,1,-5
MQ,4534,LGA,1,-9
MQ,4540,LGA,1,-6
MQ,4555,LGA,1,-3
MQ,4555,LGA,1,-10
MQ,4577,LGA,1,-5
MQ,4584,LGA,1,0
MQ,4588,LGA,1,-7
MQ,4589,LGA,1,12
MQ,4610,LGA,1,-7
MQ,4610,LGA,1,-9
MQ,4622,LGA,1,16
MQ,4660,LGA,1,-6
UA,15,EWR,1,2
UA,41,EWR,1,4
UA,54,EWR,1,24
UA,226,EWR,1,-4
UA,279,EWR,1,4
UA,298,EWR,1,3
UA,299,EWR,1,38
UA,315,EWR,1,-2
UA,370,EWR,1,-5
UA,385,EWR,1,48
UA,386,EWR,1,-6
UA,393,LGA,1,2
UA,402,EWR,1,-4
UA,421,EWR,1,-3
UA,424,EWR,1,-3
UA,424,EWR,1,8
UA,425,EWR,1,0
UA,430,EWR,1,-1
UA,430,EWR,1,5
UA,465,EWR,1,84
UA,473,EWR,1,7
UA,477,EWR,1,253
UA,509,LGA,1,-5
UA,512,JFK,1,-6
UA,535,JFK,1,-4
UA,572,JFK,1,-1
UA,575,EWR,1,-4
UA,583,EWR,1,-5
UA,594,EWR,1,-4
UA,594,EWR,1,-4
UA,634,EWR,1,-1
UA,655,EWR,1,-4
UA,721,LGA,1,-7
UA,738,EWR,1,0
UA,741,EWR,1,2
UA,783,EWR,1,14
UA,789,EWR,1,-3
UA,789,EWR,1,-7
UA,812,EWR,1,95
UA,979,EWR,1,-3
UA,1004,EWR,1,6
UA,1018,EWR,1,-3
UA,1018,EWR,1,3
UA,1018,EWR,1,-2
UA,1030,JFK,1,-4
UA,1075,EWR,1,4
UA,1100,EWR,1,-1
UA,1132,EWR,1,3
UA,1134,EWR,1,4
UA,1134,EWR,1,3
UA,1137,EWR,1,38
UA,1146,EWR,1,14
UA,1183,EWR,1,8
UA,1186,EWR,1,1
UA,1207,EWR,1,13
UA,1221,EWR,1,91
UA,1223,EWR,1,-3
UA,1255,EWR,1,35
UA,1299,EWR,1,25
UA,1410,EWR,1,1
UA,1416,EWR,1,0
UA,1434,EWR,1,0
UA,1481,EWR,1,11
UA,1483,EWR,1,0
UA,1519,EWR,1,6
UA,1525,EWR,1,21
UA,1529,EWR,1,6
UA,1593,EWR,1,4
UA,1597,EWR,1,-10
UA,1601,EWR,1,-6
UA,1602,EWR,1,-12
UA,1655,EWR,1,0
UA,1703,EWR,1,1
US,35,JFK,1,2
US,35,JFK,1,-2
US,449,EWR,1,0
US,656,EWR,1,103
US,675,EWR,1,-2
US,681,EWR,1,-1
US,720,EWR,1,11
US,1103,EWR,1,4
US,1277,LGA,1,-2
US,1427,JFK,1,-5
US,1433,LGA,1,12
US,1437,LGA,1,-5
US,1445,LGA,1,51
US,1491,LGA,1,336
US,1733,LGA,1,-1
US,1973,EWR,1,83
US,2114,LGA,1,-6
US,2114,LGA,1,-9
US,2114,LGA,1,-1
US,2130,LGA,1,-6
US,2138,LGA,1,5
US,2142,LGA,1,-11
US,2142,LGA,1,12
US,2144,LGA,1,-5
US,2175,LGA,1,-9
US,2177,LGA,1,-5
US,2187,LGA,1,-1
US,2189,LGA,1,-5
VX,409,JFK,1,1
VX,411,JFK,1,-1
VX,415,JFK,1,-11
WN,135,LGA,1,-3
WN,283,LGA,1,1
WN,283,LGA,1,54
WN,321,LGA,1,-1
WN,372,LGA,1,-1
WN,408,LGA,1,0
WN,469,LGA,1,-3
WN,530,LGA,1,-1
WN,644,EWR,1,-2
WN,680,EWR,1,0
WN,981,LGA,1,57
WN,1774,EWR,1,-5
WN,1873,LGA,1,0
WN,3223,LGA,1,-3
WN,4646,LGA,1,3
9E,3289,JFK,2,-3
9E,3353,JFK,2,-4
9E,3395,JFK,2,-5
9E,3427,JFK,2,-15
9E,3427,JFK,2,-5
9E,3439,JFK,2,-10
9E,3453,JFK,2,-5
9E,3453,JFK,2,
9E,3552,JFK,2,5
9E,3609,JFK,2,
9E,3609,JFK,2,10
9E,3638,JFK,2,-3
9E,3661,JFK,2,15
9E,3667,JFK,2,-4
9E,3884,JFK,2,23
9E,3953,EWR,2,-9
9E,4019,JFK,2,-6
9E,4105,JFK,2,5
9E,4220,JFK,2,56
9E,4277,JFK,2,
AA,21,JFK,2,-7
AA,85,JFK,2,0
AA,85,JFK,2,1
AA,133,JFK,2,-5
AA,145,JFK,2,1
AA,145,JFK,2,0
AA,181,JFK,2,-5
AA,321,LGA,2,66
AA,345,LGA,2,15
AA,359,LGA,2,0
AA,371,LGA,2,35
AA,543,JFK,2,6
AA,575,JFK,2,19
AA,647,JFK,2,-1
AA,655,JFK,2,4
AA,655,JFK,2,-6
AA,717,LGA,2,10
AA,721,LGA,2,-6
AA,731,LGA,2,-2
AA,739,LGA,2,1
AA,739,LGA,2,-4
AA,753,LGA,2,1
AA,785,LGA,2,-5
AA,883,EWR,2,-7
AA,1073,LGA,2,-9
AA,1589,EWR,2,-4
AA,1623,EWR,2,-3
AA,1709,LGA,2,-13
AA,1790,JFK,2,-2
AA,1853,EWR,2,163
AA,1905,EWR,2,-1
AA,2223,LGA,2,-6
AA,2267,LGA,2,-4
AS,7,EWR,2,-2
AS,7,EWR,2,40
AS,7,EWR,2,5
AS,11,EWR,2,-10
B6,12,JFK,2,-5
B6,22,JFK,2,-3
B6,30,JFK,2,76
B6,56,JFK,2,-2
B6,87,JFK,2,6
B6,97,JFK,2,-4
B6,119,JFK,2,-5
B6,133,JFK,2,161
B6,133,JFK,2,-4
B6,135,JFK,2,
B6,137,JFK,2,13
B6,139,JFK,2,37
B6,143,JFK,2,-2
B6,153,JFK,2,-5
B6,157,JFK,2,-3
B6,179,JFK,2,29
B6,181,JFK,2,0
B6,185,JFK,2,-3
B6,203,JFK,2,-2
B6,209,JFK,2,-1
B6,215,EWR,2,2
B6,219,JFK,2,56
B6,341,JFK,2,-4
B6,347,JFK,2,80
B6,347,JFK,2,87
B6,361,LGA,2,7
B6,383,LGA,2,67
B6,391,LGA,2,
B6,403,JFK,2,4
B6,431,LGA,2,13
B6,431,LGA,2,-3
B6,501,JFK,2,-2
B6,509,EWR,2,-9
B6,517,EWR,2,-3
B6,517,EWR,2,-1
B6,517,EWR,2,-6
B6,525,EWR,2,8
B6,537,EWR,2,40
B6,547,EWR,2,19
B6,553,EWR,2,5
B6,629,JFK,2,-1
B6,629,JFK,2,161
B6,645,JFK,2,-1
B6,675,JFK,2,-4
B6,705,JFK,2,46
B6,709,JFK,2,30
B6,715,JFK,2,1
B6,717,JFK,2,0
B6,717,JFK,2,15
B6,801,JFK,2,-3
B6,885,JFK,2,-4
B6,985,LGA,2,-6
B6,991,JFK,2,6
B6,1004,JFK,2,69
B6,1018,JFK,2,31
B6,1925,JFK,2,2
B6,1932,JFK,2,-4
DL,6,JFK,2,2
DL,31,JFK,2,-2
DL,161,JFK,2,-3
DL,401,EWR,2,-5
DL,461,LGA,2,
DL,503,JFK,2,27
DL,706,JFK,2,11
DL,706,JFK,2,-3
DL,731,LGA,2,-6
DL,731,LGA,2,-4
DL,781,LGA,2,-6
DL,930,LGA,2,0
DL,930,LGA,2,-2
DL,1133,LGA,2,135
DL,1167,JFK,2,1
DL,1174,LGA,2,-6
DL,1411,JFK,2,-3
DL,1411,JFK,2,0
DL,1415,JFK,2,-8
DL,1485,LGA,2,-3
DL,1499,LGA,2,-3
DL,1529,JFK,2,-1
DL,1659,LGA,2,-3
DL,1747,LGA,2,-3
DL,1771,JFK,2,8
DL,1779,LGA,2,-5
DL,1819,LGA,2,-5
DL,1899,LGA,2,-5
DL,2044,LGA,2,-5
DL,2079,LGA,2,-5
DL,2115,LGA,2,-3
DL,2143,JFK,2,1
DL,2190,JFK,2,-1
DL,2231,LGA,2,-5
DL,2285,LGA,2,-5
DL,2285,LGA,2,-5
DL,2331,LGA,2,-4
DL,2331,LGA,2,-5
DL,2347,LGA,2,-1
DL,2370,LGA,2,39
DL,2391,JFK,2,13
EV,3260,EWR,2,43
EV,3274,LGA,2,68
EV,3810,EWR,2,-5
EV,3815,EWR,2,70
EV,3815,EWR,2,3
EV,3818,EWR,2,0
EV,3820,EWR,2,
EV,3842,EWR,2,-2
EV,4086,EWR,2,
EV,4087,EWR,2,-4
EV,4088,EWR,2,-8
EV,4131,EWR,2,-7
EV,4144,EWR,2,-1
EV,4159,EWR,2,10
EV,4172,EWR,2,-3
EV,4181,EWR,2,-2
EV,4181,EWR,2,-6
EV,4187,EWR,2,-10
EV,4201,EWR,2,-4
EV,4202,EWR,2,-4
EV,4210,EWR,2,-3
EV,4229,EWR,2,-2
EV,4233,EWR,2,-4
EV,4238,EWR,2,8
EV,4241,EWR,2,-7
EV,4272,EWR,2,16
EV,4276,EWR,2,9
EV,4300,EWR,2,-4
EV,4309,EWR,2,-8
EV,4316,EWR,2,36
EV,4322,EWR,2,11
EV,4356,EWR,2,-8
EV,4368,EWR,2,26
EV,4373,EWR,2,5
EV,4411,EWR,2,
EV,4436,EWR,2,7
EV,4536,EWR,2,40
EV,4572,EWR,2,126
EV,4596,EWR,2,
EV,4636,EWR,2,
EV,4636,EWR,2,-2
EV,4636,EWR,2,104
EV,4645,EWR,2,-8
EV,4662,EWR,2,-6
EV,4687,EWR,2,-6
EV,4689,EWR,2,-9
EV,4703,EWR,2,72
EV,4708,EWR,2,-3
EV,4941,EWR,2,7
EV,4963,EWR,2,-3
EV,4997,EWR,2,-2
EV,5026,EWR,2,-4
EV,5273,LGA,2,-4
EV,5409,LGA,2,87
EV,5708,LGA,2,34
EV,6055,LGA,2,75
FL,349,LGA,2,6
FL,353,LGA,2,-7
FL,623,LGA,2,-2
FL,645,LGA,2,49
MQ,3697,EWR,2,-6
MQ,3737,EWR,2,0
MQ,3737,EWR,2,-6
MQ,3792,JFK,2,68
MQ,3985,JFK,2,-5
MQ,4255,JFK,2,
MQ,4309,JFK,2,-7
MQ,4333,JFK,2,-3
MQ,4401,LGA,2,-6
MQ,4404,JFK,2,-4
MQ,4406,JFK,2,-6
MQ,4410,JFK,2,3
MQ,4410,JFK,2,75
MQ,4423,JFK,2,26
MQ,4426,LGA,2,-5
MQ,4429,LGA,2,-9
MQ,4449,JFK,2,-8
MQ,4478,LGA,2,-8
MQ,4484,LGA,2,-10
MQ,4485,LGA,2,-7
MQ,4517,LGA,2,-4
MQ,4540,LGA,2,42
MQ,4553,LGA,2,-2
MQ,4558,LGA,2,207
MQ,4564,LGA,2,59
MQ,4577,LGA,2,-7
MQ,4577,LGA,2,6
MQ,4579,LGA,2,-8
MQ,4582,LGA,2,-5
MQ,4588,LGA,2,-2
MQ,4599,LGA,2,-10
MQ,4654,LGA,2,74
MQ,4661,LGA,2,-6
MQ,4662,LGA,2,-10
UA,16,EWR,2,0
UA,77,LGA,2,14
UA,80,EWR,2,70
UA,112,JFK,2,9
UA,235,EWR,2,-8
UA,243,JFK,2,-4
UA,250,EWR,2,168
UA,250,EWR,2,-5
UA,250,EWR,2,-1
UA,279,EWR,2,-5
UA,303,JFK,2,-3
UA,304,EWR,2,-2
UA,329,EWR,2,47
UA,362,JFK,2,
UA,523,EWR,2,-4
UA,527,EWR,2,
UA,538,EWR,2,-5
UA,571,EWR,2,24
UA,681,EWR,2,30
UA,695,LGA,2,-8
UA,695,LGA,2,57
UA,703,JFK,2,-7
UA,719,EWR,2,0
UA,788,EWR,2,5
UA,832,EWR,2,-1
UA,927,EWR,2,-8
UA,1018,EWR,2,0
UA,1053,EWR,2,0
UA,1064,EWR,2,23
UA,1066,EWR,2,35
UA,1071,EWR,2,43
UA,1134,EWR,2,-3
UA,1139,EWR,2,3
UA,1177,EWR,2,13
UA,1181,EWR,2,-4
UA,1227,EWR,2,-1
UA,1237,EWR,2,-1
UA,1259,LGA,2,9
UA,1259,LGA,2,-2
UA,1266,EWR,2,11
UA,1296,EWR,2,-4
UA,1462,EWR,2,24
UA,1479,EWR,2,1
UA,1491,JFK,2,15
UA,1550,EWR,2,2
UA,1562,EWR,2,-2
UA,1581,EWR,2,3
UA,1600,EWR,2,77
UA,1611,EWR,2,62
UA,1614,EWR,2,-1
UA,1626,EWR,2,2
UA,1627,EWR,2,-10
UA,1629,EWR,2,-4
UA,1643,EWR,2,42
UA,1672,EWR,2,7
UA,1724,EWR,2,-3
UA,1742,EWR,2,23
US,829,JFK,2,13
US,1036,EWR,2,
US,1459,LGA,2,-7
US,1733,LGA,2,-6
US,1973,EWR,2,-4
US,2116,LGA,2,-8
US,2118,LGA,2,-7
US,2136,LGA,2,15
US,2173,LGA,2,-5
US,2175,LGA,2,-5
US,2183,LGA,2,-8
US,2183,LGA,2,24
US,2191,LGA,2,30
VX,23,JFK,2,-9
VX,29,JFK,2,8
VX,251,JFK,2,-5
VX,407,JFK,2,-6
VX,407,JFK,2,-2
WN,3,EWR,2,-5
WN,102,EWR,2,0
WN,519,LGA,2,4
WN,542,LGA,2,3
WN,1682,EWR,2,33
WN,1964,LGA,2,-7
WN,2355,EWR,2,95
WN,2714,LGA,2,-4
WN,2963,LGA,2,9
9E,3318,JFK,3,-3
9E,3330,JFK,3,-4
9E,3340,JFK,3,
9E,3353,JFK,3,-4
9E,3353,JFK,3,-1
9E,3374,JFK,3,
9E,3395,JFK,3,-2
9E,3439,JFK,3,-3
9E,3442,JFK,3,-2
9E,3443,JFK,3,20
9E,3444,JFK,3,10
9E,3525,JFK,3,148
9E,3525,JFK,3,-7
9E,3525,JFK,3,131
9E,3538,JFK,3,
9E,3635,JFK,3,-5
9E,3638,JFK,3,-4
9E,3798,JFK,3,-5
9E,3867,EWR,3,-4
9E,3879,EWR,3,-9
9E,3881,EWR,3,-9
9E,3899,JFK,3,-2
9E,3899,JFK,3,
9E,3968,JFK,3,10
9E,4059,LGA,3,-11
9E,4135,JFK,3,-1
9E,4135,JFK,3,
9E,4178,JFK,3,-4
9E,4178,JFK,3,1
9E,4220,JFK,3,7
9E,4277,JFK,3,1
9E,4357,JFK,3,42
AA,1,JFK,3,-1
AA,1,JFK,3,-1
AA,3,JFK,3,-10
AA,33,JFK,3,-3
AA,59,JFK,3,13
AA,59,JFK,3,-4
AA,85,JFK,3,0
AA,119,EWR,3,
AA,119,EWR,3,-8
AA,179,JFK,3,-2
AA,185,JFK,3,27
AA,185,JFK,3,-5
AA,269,JFK,3,-1
AA,301,LGA,3,0
AA,313,LGA,3,4
AA,415,JFK,3,1
AA,443,JFK,3,3
AA,443,JFK,3,-4
AA,543,JFK,3,-3
AA,543,JFK,3,0
AA,647,JFK,3,-2
AA,707,LGA,3,-7
AA,715,LGA,3,-6
AA,715,LGA,3,-3
AA,721,LGA,3,-7
AA,739,LGA,3,-3
AA,743,LGA,3,-3
AA,753,LGA,3,-9
AA,785,LGA,3,-9
AA,791,LGA,3,187
AA,825,JFK,3,-1
AA,1073,LGA,3,0
AA,1073,LGA,3,-9
AA,1073,LGA,3,-6
AA,1351,JFK,3,46
AA,1357,JFK,3,-2
AA,1709,LGA,3,
AA,1762,JFK,3,67
AA,1787,JFK,3,10
AA,1815,JFK,3,-5
AA,1850,JFK,3,-6
AA,1850,JFK,3,-5
AA,1853,EWR,3,14
AA,1905,EWR,3,-9
AA,1999,EWR,3,31
B6,1,JFK,3,-5
B6,9,JFK,3,20
B6,9,JFK,3,0
B6,9,JFK,3,104
B6,12,JFK,3,23
B6,21,JFK,3,-1
B6,32,JFK,3,-7
B6,35,JFK,3,-8
B6,36,JFK,3,-8
B6,44,JFK,3,-5
B6,59,JFK,3,-9
B6,66,JFK,3,0
B6,85,JFK,3,71
B6,97,JFK,3,-1
B6,104,JFK,3,16
B6,108,JFK,3,-3
B6,117,JFK,3,-2
B6,135,JFK,3,-3
B6,139,JFK,3,16
B6,143,JFK,3,5
B6,143,JFK,3,-5
B6,145,JFK,3,-1
B6,147,JFK,3,-4
B6,147,JFK,3,-16
B6,155,JFK,3,-9
B6,171,JFK,3,10
B6,171,JFK,3,27
B6,179,JFK,3,-6
B6,197,JFK,3,0
B6,219,JFK,3,20
B6,359,JFK,3,-6
B6,361,LGA,3,21
B6,361,LGA,3,-3
B6,369,LGA,3,35
B6,373,LGA,3,0
B6,377,LGA,3,6
B6,377,LGA,3,137
B6,381,LGA,3,13
B6,393,LGA,3,56
B6,393,LGA,3,12
B6,393,LGA,3,170
B6,399,LGA,3,27
B6,501,JFK,3,-1
B6,503,EWR,3,-4
B6,523,EWR,3,27
B6,527,EWR,3,265
B6,537,EWR,3,-3
B6,547,EWR,3,73
B6,625,JFK,3,-6
B6,641,JFK,3,-3
B6,643,JFK,3,1
B6,645,JFK,3,0
B6,673,JFK,3,1
B6,703,JFK,3,-3
B6,709,JFK,3,-2
B6,725,JFK,3,-6
B6,727,JFK,3,-3
B6,801,JFK,3,8
B6,901,JFK,3,-2
B6,905,JFK,3,-3
B6,927,EWR,3,-7
B6,985,LGA,3,31
B6,985,LGA,3,7
B6,985,LGA,3,145
